Count,City,State/Province,Longitude,Latitude
1,Antioch, TN,-86.66,36.05
2,Apache Junction, AZ,-111.55,33.41
3,Apex, NC,-78.86,35.74
2,Apopka, FL,-81.44,28.67
4,Apple Valley, CA,-117.22,34.53
2,Apple Valley, MN,-93.21,44.73
4,Appleton, WI,-88.47,44.27
2,Aptos, CA,-121.9,36.98
6,Arcadia, CA,-118.02,34.11
1,Arden Hills, MN,-93.15,45.06
2,Arden, NC,-82.53,35.46
1,Ardmore, OK,-97.17,34.19
1,Ardmore, PA,-75.29,40.01
1,Ardsley, NY,-73.85,41.01
1,Arkadelphia, AR,-93.06,34.13
4,Arlington Heights, IL,-87.98,42.05
2,Arlington, MA,-71.15,42.41
16,Arlington, TX,-97.11,32.67
25,Arlington, VA,-77.06,38.87
3,Arlington, WA,-122.13,48.18
1,Arnold, MD,-76.5,39.03
2,Arnold, MO,-90.4,38.41
2,Arroyo Grande, CA,-120.6,35.12
1,Artesia, CA,-118.08,33.87
9,Arvada, CO,-105.11,39.8
1,Arvin, CA,-118.94,34.99
5,Ashburn, VA,-77.5,39.08
13,Asheville, NC,-82.52,35.58
1,Ashland, KY,-82.64,38.48
1,Ashland, OH,-82.26,40.86
2,Ashland, OR,-122.67,42.19
1,Ashland, VA,-77.47,37.76
1,Ashwaubenon, WI,-88.08,44.47
1,Aspen, CO,-106.82,39.19
5,Astoria, NY,-73.93,40.76
1,Astoria, OR,-123.81,46.19
2,Atascadero, CA,-120.7,35.53
1,Atascocita, TX,-95.17,30.0
1,Athens, AL,-86.95,34.78
7,Athens, GA,-83.34,33.92
1,Athens, OH,-82.07,39.34
1,Athens, TN,-84.61,35.45
1,Athol, MA,-72.19,42.58
63,Atlanta, GA,-84.36,33.85
5,Atlantic City, NJ,-74.45,39.35
3,Atwater, CA,-120.62,37.34
3,Auburn Hills, MI,-83.3,42.7
3,Auburn, AL,-85.46,32.61
8,Auburn, CA,-121.06,38.92
1,Auburn, IN,-85.07,41.37
1,Auburn, MA,-71.84,42.2
1,Auburn, ME,-70.23,44.12
7,Auburn, WA,-122.23,47.31
9,Augusta, GA,-82.03,33.51
2,Augusta, ME,-69.81,44.32
25,Aurora, CO,-104.76,39.61
8,Aurora, IL,-88.38,41.79
1,Aurora, MO,-93.72,36.97
1,Aurora, OH,-81.39,41.35
1,Austell, GA,-84.58,33.86
60,Austin, TX,-97.8,30.28
1,Austintown, OH,-80.77,41.12
4,Aventura, FL,-80.15,25.95
1,Avon Lake, OH,-81.99,41.49
4,Avon, CO,-106.42,39.57
1,Avon, CT,-72.86,41.82
3,Avon, IN,-86.34,39.76
2,Avon, OH,-82.02,41.46
4,Avondale, AZ,-112.34,33.46
1,Aztec, NM,-107.99,36.83
4,Azusa, CA,-117.89,34.13
1,Babylon, NY,-73.36,40.71
2,Bainbridge Island, WA,-122.52,47.64
2,Baker City, OR,-117.82,44.78
36,Bakersfield, CA,-119.05,35.3
1,Bala Cynwyd, PA,-75.24,40.01
1,Balcones Heights, TX,-98.55,29.49
1,Baldwin Harbor, NY,-73.61,40.64
5,Baldwin Park, CA,-117.99,34.06
2,Ballwin, MO,-90.52,38.62
33,Baltimore, MD,-76.57,39.28
3,Bangor, ME,-68.74,44.84
2,Banning, CA,-116.9,33.93
3,Barboursville, WV,-82.27,38.42
1,Bardstown, KY,-85.47,37.83
1,Barnegat, NJ,-74.25,39.76
1,Barre, VT,-72.55,44.22
2,Barrington, IL,-88.13,42.15
1,Barrington, RI,-71.3,41.74
3,Barstow, CA,-117.0,34.89
2,Bartlesville, OK,-95.94,36.71
1,Bartlett, IL,-88.21,41.95
1,Bartlett, TN,-89.84,35.21
2,Bartonville, TX,-97.13,33.08
1,Basalt, CO,-107.08,39.39
1,Basking  Ridge, NJ,-74.58,40.65
1,Bastrop, TX,-97.33,30.11
1,Batavia, IL,-88.34,41.85
1,Batavia, NY,-78.21,43.01
10,Baton Rouge, LA,-91.14,30.42
2,Battle Creek, MI,-85.18,42.26
4,Battle Ground, WA,-122.55,45.78
2,Baxter, MN,-94.24,46.37
1,Bay City, MI,-83.89,43.62
1,Bay Lake, FL,-81.56,28.36
3,Bay Shore, NY,-73.25,40.74
1,Bayonne, NJ,-74.11,40.67
1,Bayport, NY,-73.05,40.75
1,Bayside, NY,-73.77,40.76
4,Baytown, TX,-94.98,29.79
3,Beachwood, OH,-81.49,41.5
1,Beaufort, SC,-80.69,32.44
2,Beaumont, CA,-116.98,33.95
4,Beaumont, TX,-94.15,30.13
1,Beaver, PA,-80.3,40.7
5,Beavercreek, OH,-84.05,39.76
13,Beaverton, OR,-122.77,45.49
2,Beckley, WV,-81.18,37.8
1,Bedford Park, IL,-87.74,41.77
1,Bedford, IN,-86.51,38.86
1,Bedford, MA,-71.27,42.49
2,Bedford, NH,-71.47,42.94
2,Bedford, PA,-78.49,40.03
1,Bedford, TX,-97.13,32.84
1,Bedminster, NJ,-74.64,40.65
4,Bel Air, MD,-76.32,39.55
2,Belfair, WA,-122.82,47.45
1,Belgrade, MT,-111.18,45.78
1,Bell Gardens, CA,-118.16,33.97
1,Bell, CA,-118.19,33.97
1,Bellaire, TX,-95.47,29.71
1,Belle Isle, FL,-81.33,28.48
1,Belle Vernon, PA,-79.84,40.14
1,Bellerose, NY,-73.71,40.73
2,Belleville, IL,-89.92,38.52
1,Belleville, MI,-83.48,42.22
4,Bellevue, NE,-95.97,41.14
1,Bellevue, TN,-86.96,36.04
29,Bellevue, WA,-122.15,47.6
1,Bellevue, WI,-87.99,44.46
2,Bellflower, CA,-118.13,33.9
14,Bellingham, WA,-122.47,48.73
1,Bellmar, NJ,-74.27,40.02
3,Belmont, CA,-122.28,37.52
3,Belmont, MA,-71.18,42.4
1,Beloit, WI,-88.98,42.52
1,Belton, MO,-94.52,38.81
1,Belton, TX,-97.45,31.05
1,Beltsville, MD,-76.91,39.03
2,Belvidere, IL,-88.84,42.23
1,Bemidji, MN,-94.91,47.49
1,Benbrook, TX,-97.46,32.68
12,Bend, OR,-121.26,44.06
4,Benicia, CA,-122.16,38.05
1,Bennett, CO,-104.43,39.77
1,Bennington, VT,-73.21,42.9
1,Bensenville, IL,-87.94,41.93
1,Benson, AZ,-110.31,31.97
2,Benton, AR,-92.53,34.61
3,Bentonville, AR,-94.21,36.36
1,Bergen, NJ,-74.07,40.96
5,Berkeley, CA,-122.27,37.87
1,Bernalillo, NM,-106.54,35.32
1,Bernardsville, NJ,-74.56,40.72
1,Berwyn, IL,-87.8,41.85
1,Bessemer, AL,-86.93,33.33
4,Bethel Park, PA,-80.05,40.34
1,Bethel, CT,-73.38,41.41
9,Bethesda, MD,-77.1,38.99
1,Bethlehem, GA,-83.76,33.95
2,Bethlehem, PA,-75.3,40.65
1,Bethpage, NY,-73.48,40.73
2,Bettendorf, IA,-90.52,41.54
5,Beverly Hills, CA,-118.4,34.07
2,Beverly, MA,-70.88,42.59
2,Bexley, OH,-82.94,39.96
1,Biddeford, ME,-70.51,43.47
2,Big Bear Lake, CA,-116.88,34.25
1,Big Flats, NY,-76.87,42.15
2,Big Rapids, MI,-85.48,43.69
1,Billerica, MA,-71.29,42.58
9,Billings, MT,-108.58,45.76
3,Biloxi, MS,-88.86,30.39
2,Binghamton, NY,-75.9,42.14
1,Birch Run, MI,-83.78,43.25
16,Birmingham, AL,-86.71,33.43
2,Birmingham, MI,-83.21,42.55
1,Bisbee, AZ,-109.92,31.4
2,Bishop, CA,-118.4,37.37
4,Bismarck, ND,-100.78,46.8
1,Black Mountain, NC,-82.32,35.61
1,Blackhawk, CO,-105.49,39.8
4,Blacksburg, VA,-80.41,37.23
2,Blaine, MN,-93.23,45.17
1,Blair, NE,-96.12,41.54
1,Blairsville, GA,-83.95,34.88
1,Blasdell, NY,-78.81,42.79
2,Bloomfield Hills, MI,-83.26,42.6
3,Bloomfield Township, MI,-83.29,42.55
1,Bloomfield, CT,-72.74,41.82
1,Bloomfield, MI,-83.28,42.58
2,Bloomingdale, IL,-88.07,41.96
3,Bloomington, IL,-88.95,40.5
7,Bloomington, IN,-86.57,39.17
7,Bloomington, MN,-93.24,44.86
2,Bloomsburg, PA,-76.45,41.01
3,Blue Ash, OH,-84.38,39.23
1,Blue Jay, CA,-117.21,34.25
1,Blue Ridge, GA,-84.34,34.84
2,Blue Springs, MO,-94.27,39.02
4,Bluffton, SC,-80.85,32.25
2,Blythe, CA,-114.59,33.61
1,Boardman, OH,-80.68,41.02
14,Boca Raton, FL,-80.2,26.37
1,Boerne, TX,-98.74,29.78
1,Bohemia, NY,-73.1,40.78
23,Boise, ID,-116.28,43.61
5,Bolingbrook, IL,-88.12,41.7
1,Bolling Afb, DC,-77.02,38.84
1,Bonaire, GA,-83.59,32.54
1,Bonita Springs, FL,-81.81,26.34
2,Bonita, CA,-117.03,32.66
1,Bonners Ferry, ID,-116.32,48.69
4,Bonney Lake, WA,-122.17,47.17
1,Boone, NC,-81.66,36.2
1,Boonton, NJ,-74.4,40.91
1,Bordentown, NJ,-74.72,40.13
4,Bossier City, LA,-93.7,32.53
60,Boston, MA,-71.13,42.35
12,Bothell, WA,-122.21,47.81
1,Boulder City, NV,-114.85,35.97
15,Boulder, CO,-105.25,40.03
2,Bountiful, UT,-111.89,40.88
3,Bourbonnais, IL,-87.89,41.16
1,Bourne, MA,-70.59,41.75
8,Bowie, MD,-76.74,38.95
5,Bowling Green, KY,-86.47,36.96
3,Bowling Green, OH,-83.64,41.38
1,Bowmansville, PA,-76.02,40.2
1,Boyne City, MI,-85.02,45.22
5,Boynton Beach, FL,-80.17,26.53
5,Bozeman, MT,-111.05,45.68
8,Bradenton, FL,-82.62,27.5
4,Braintree, MA,-71.03,42.22
1,Branchburg, NJ,-74.69,40.61
7,Brandon, FL,-82.33,27.93
2,Brandywine, MD,-76.88,38.67
2,Branford, CT,-72.83,41.28
3,Branson, MO,-93.25,36.65
2,Brawley, CA,-115.55,32.96
9,Brea, CA,-117.89,33.92
1,Breckenridge, CO,-106.05,39.48
1,Brecksville, OH,-81.63,41.32
1,Breezewood, PA,-78.24,40.0
7,Bremerton, WA,-122.65,47.57
1,Brenham, TX,-96.39,30.14
4,Brentwood, CA,-121.74,37.94
2,Brentwood, MO,-90.35,38.62
4,Brentwood, TN,-86.78,36.04
1,Brevard, NC,-82.73,35.24
1,Briarcliff Manor, NY,-73.83,41.15
1,Brick, NJ,-74.15,40.06
1,Bridgehampton, NY,-72.3,40.94
1,Bridgeport, CT,-73.18,41.18
1,Bridgeton, MO,-90.43,38.75
2,Bridgeville, PA,-80.1,40.38
4,Bridgewater, NJ,-74.62,40.59
1,Brigham City, UT,-112.02,41.51
5,Brighton, CO,-104.8,39.97
3,Brighton, MA,-71.16,42.35
3,Brighton, MI,-83.79,42.54
1,Brighton, NY,-77.56,43.13
1,Bristol, CT,-72.92,41.69
2,Bristol, VA,-82.1,36.64
2,Bristow, VA,-77.55,38.73
1,Broadlands, VA,-77.51,39.03
3,Broadview Heights, OH,-81.67,41.29
2,Broadview, IL,-87.85,41.85
2,Brockton, MA,-71.07,42.06
3,Broken Arrow, OK,-95.81,36.06
13,Bronx, NY,-73.84,40.85
1,Bronxville, NY,-73.83,40.94
1,Brookfield, NY,-73.62,40.81
7,Brookfield, WI,-88.07,43.04
1,Brookhaven, PA,-75.4,39.88
1,Brookings, OR,-124.29,42.05
1,Brookings, SD,-96.77,44.3
5,Brookline, MA,-71.13,42.35
1,Brooklyn Center, MN,-93.32,45.06
4,Brooklyn Park, MN,-93.38,45.09
37,Brooklyn, NY,-74.03,40.63
1,Brooklyn, OH,-81.73,41.43
1,Brooksville, FL,-82.51,28.53
2,Broomall, PA,-75.35,39.96
8,Broomfield, CO,-105.04,39.96
1,Broussard, LA,-91.95,30.15
1,Brownsburg, IN,-86.39,39.86
1,Brownstown, MI,-84.38,44.27
3,Brownsville, TX,-97.51,25.97
1,Brownwood, TX,-98.98,31.73
4,Brunswick, GA,-81.52,31.22
1,Brunswick, ME,-69.92,43.91
1,Brunswick, OH,-81.81,41.24
3,Bryan, TX,-96.33,30.66
1,Bryant, AR,-92.53,34.6
1,Bryn Mawr, PA,-75.32,40.02
1,Buckeye, AZ,-112.56,33.43
1,Buckhead, GA,-84.36,33.82
1,Buda, TX,-97.82,30.09
1,Buellton, CA,-120.19,34.61
7,Buena Park, CA,-118.03,33.83
2,Buffalo Grove, IL,-87.96,42.18
1,Buffalo, MN,-93.86,45.17
5,Buffalo, NY,-78.88,42.92
3,Buford, GA,-83.98,34.07
1,Buies Creek, NC,-78.74,35.41
2,Bullhead City, AZ,-114.59,35.12
1,Bulverde, TX,-98.42,29.8
19,Burbank, CA,-118.31,34.16
2,Burbank, IL,-87.8,41.75
5,Burien, WA,-122.33,47.47
4,Burke, VA,-77.28,38.78
4,Burleson, TX,-97.31,32.54
5,Burlingame, CA,-122.37,37.6
1,Burlington, IA,-91.14,40.82
1,Burlington, KY,-84.69,39.02
4,Burlington, MA,-71.23,42.49
4,Burlington, NC,-79.48,36.08
1,Burlington, NJ,-74.82,40.04
2,Burlington, VT,-73.21,44.48
4,Burlington, WA,-122.34,48.45
3,Burnsville, MN,-93.29,44.75
1,Burnsville, NC,-82.29,35.91
1,Burnwell, WV,-81.38,38.1
1,Burr Ridge, IL,-87.91,41.75
1,Burtonsville, MD,-76.93,39.11
1,Butler, PA,-79.95,40.88
1,Butte, MT,-112.51,45.98
1,Buttonwillow, CA,-119.4,35.4
1,Byron Center, MI,-85.67,42.81
1,Byron, CA,-121.62,37.89
3,Cabazon, CA,-116.8,33.92
3,Calabasas, CA,-118.64,34.16
3,Caledonia, MI,-85.62,42.85
1,Calexico, CA,-115.5,32.68
1,Calhoun, GA,-84.93,34.47
1,California, MD,-76.52,38.3
1,Calimesa, CA,-117.06,34.0
1,Callaway, FL,-85.59,30.16
1,Calumet City, IL,-87.56,41.6
7,Camarillo, CA,-119.07,34.22
1,Camas, WA,-122.4,45.59
13,Cambridge, MA,-71.12,42.37
1,Cambridge, MN,-93.21,45.57
1,Camby, IN,-86.33,39.64
1,Camden, NJ,-75.12,39.95
3,Cameron Park, CA,-121.0,38.7
3,Camp Hill, PA,-76.93,40.24
1,Camp Lejenue, NC,-77.34,34.67
2,Camp Verde, AZ,-111.88,34.58
7,Campbell, CA,-121.95,37.29
1,Canal Winchester, OH,-82.83,39.86
1,Canandaigua, NY,-77.26,42.88
1,Canastota, NY,-75.84,43.1
3,Canby, OR,-122.68,45.27
1,Candler, NC,-82.66,35.55
1,Canfield, OH,-80.74,41.03
1,Cannon Afb, NM,-103.33,34.39
5,Canoga Park, CA,-118.61,34.22
1,Canon City, CO,-105.22,38.45
1,Canonsburg, PA,-80.17,40.26
5,Canton, GA,-84.46,34.24
1,Canton, IL,-90.04,40.57
1,Canton, MA,-71.15,42.14
4,Canton, MI,-83.49,42.32
1,Canton, NC,-82.84,35.54
4,Canton, OH,-81.43,40.86
1,Canyon Country, CA,-118.47,34.42
1,Canyon, TX,-101.92,34.98
6,Cape Coral, FL,-81.97,26.61
3,Cape Girardeau, MO,-89.58,37.3
3,Capitola, CA,-121.97,36.98
1,Captiva, FL,-82.19,26.53
2,Carbondale, IL,-89.22,37.71
1,Cardiff, CA,-117.28,33.02
1,Carefree, AZ,-111.92,33.82
3,Carlisle, PA,-77.18,40.2
11,Carlsbad, CA,-117.27,33.09
2,Carmel, CA,-121.91,36.54
11,Carmel, IN,-86.23,39.94
1,Carmel, NY,-73.67,41.41
3,Carmichael, CA,-121.33,38.66
1,Carnation, WA,-121.92,47.65
1,Carney, MD,-76.54,39.4
1,Carol Stream, IL,-88.1,41.9
1,Carpinteria, CA,-119.51,34.39
2,Carrollton, GA,-85.07,33.55
6,Carrollton, TX,-96.88,33.02
6,Carson City, NV,-119.78,39.2
8,Carson, CA,-118.27,33.81
4,Cartersville, GA,-84.78,34.17
1,Cary, IL,-88.25,42.22
17,Cary, NC,-78.79,35.7
3,Casa Grande, AZ,-111.74,32.9
1,Cashiers, NC,-83.1,35.11
4,Casper, WY,-106.33,42.86
3,Casselberry, FL,-81.34,28.67
2,Castaic, CA,-118.62,34.45
8,Castle Rock, CO,-104.87,39.41
1,Castle Rocks, CO,-104.88,39.47
4,Castro Valley, CA,-122.09,37.69
3,Cathedral City, CA,-116.48,33.85
1,Catonsville, MD,-76.75,39.28
3,Cave Creek, AZ,-111.98,33.8
1,Cedar City, UT,-113.08,37.66
3,Cedar Falls, IA,-92.44,42.51
2,Cedar Hill, TX,-96.94,32.59
1,Cedar Knolls, NJ,-74.47,40.81
6,Cedar Park, TX,-97.81,30.53
9,Cedar Rapids, IA,-91.66,41.96
1,Cedarburg, WI,-87.99,43.29
1,Cedarhurst, NY,-73.74,40.63
1,Celebration, FL,-81.54,28.32
8,Centennial, CO,-104.76,39.61
2,Centereach, NY,-73.1,40.88
2,Centerville, OH,-84.16,39.64
1,Centerville, UT,-111.89,40.92
2,Centerville, VA,-77.44,38.84
1,Central Islip, NY,-73.2,40.77
1,Central Valley, NY,-74.13,41.32
3,Centralia, WA,-122.98,46.73
3,Century City, CA,-118.41,34.06
2,Ceres, CA,-120.94,37.61
7,Cerritos, CA,-118.06,33.85
1,Chalfont, PA,-75.24,40.27
2,Chambersburg, PA,-77.63,39.94
5,Champaign, IL,-88.24,40.14
2,Champlin, MN,-93.39,45.16
27,Chandler, AZ,-111.8,33.22
2,Chanhassen, MN,-93.52,44.86
3,Chantilly, VA,-77.45,38.89
7,Chapel Hill, NC,-79.05,35.9
1,Chappaqua, NY,-73.77,41.16
1,Chargrin Falls, OH,-81.39,41.43
1,Charleston, IL,-88.19,39.48
14,Charleston, SC,-80.0,32.81
3,Charleston, WV,-81.71,38.34
60,Charlotte, NC,-80.84,35.23
9,Charlottesville, VA,-78.44,38.03
1,Chaska, MN,-93.6,44.83
1,Chatham, NJ,-74.43,40.75
4,Chatsworth, CA,-118.58,34.26
7,Chattanooga, TN,-85.3,35.05
4,Cheektowaga, NY,-78.77,42.91
2,Chehalis, WA,-122.95,46.65
1,Chelan, WA,-120.02,47.84
1,Chelmsford, MA,-71.36,42.62
1,Chelsea, MA,-71.04,42.39
1,Cheltenham, PA,-75.16,40.08
2,Cheney, WA,-117.57,47.51
9,Cherry Hill, NJ,-75.0,39.89
12,Chesapeake, VA,-76.24,36.71
1,Chester, MD,-76.27,38.97
1,Chester, NJ,-74.69,40.78
3,Chester, VA,-77.41,37.35
2,Chesterfield Township, MI,-82.83,42.67
6,Chesterfield, MO,-90.63,38.64
2,Chesterfield, VA,-77.51,37.38
1,Chesterton, IN,-87.04,41.62
3,Chestnut Hill, MA,-71.17,42.32
2,Chevy Chase, MD,-77.09,38.96
7,Cheyenne, WY,-104.76,41.16
1,Chicago Ridge, IL,-87.78,41.72
182,Chicago, IL,-87.65,41.88
8,Chico, CA,-121.84,39.74
1,Chicopee, MA,-72.58,42.17
2,Chillicothe, OH,-82.97,39.35
5,Chino Hills, CA,-117.71,33.98
1,Chino Valley, AZ,-112.45,34.76
7,Chino, CA,-117.72,34.0
1,Chowchilla, CA,-120.26,37.13
2,Christiansburg, VA,-80.42,37.16
12,Chula Vista, CA,-117.04,32.63
1,Cicero, IL,-87.74,41.84
1,Cicero, NY,-76.12,43.16
40,Cincinnati, OH,-84.33,39.27
4,Citrus Heights, CA,-121.27,38.67
2,City Of Commerce, CA,-118.17,34.0
2,City Of Industry, CA,-118.01,34.03
4,Clackamas, OR,-122.57,45.43
4,Claremont, CA,-117.72,34.08
1,Clarendon Hills, IL,-87.95,41.8
1,Clarion, PA,-79.38,41.21
1,Clark, NJ,-74.31,40.63
1,Clarkesville, GA,-83.52,34.6
1,Clarks Summit, PA,-75.7,41.49
2,Clarksburg, MD,-77.29,39.22
1,Clarksburg, WV,-80.28,39.28
2,Clarkston, MI,-83.38,42.73
2,Clarkston, WA,-117.04,46.42
1,Clarksville, IN,-85.77,38.31
1,Clarksville, MD,-76.94,39.21
5,Clarksville, TN,-87.35,36.53
1,Clay, NY,-76.23,43.19
1,Clayton, CA,-121.95,37.95
1,Clayton, GA,-83.4,34.88
2,Clayton, MO,-90.33,38.64
2,Clayton, NC,-78.5,35.67
1,Clearfield, UT,-112.02,41.12
10,Clearwater, FL,-82.72,27.96
1,Cleburne, TX,-97.41,32.34
1,Clementon, NJ,-75.04,39.8
1,Clemmons, NC,-80.38,36.02
4,Clemson, SC,-82.8,34.7
3,Clermont, FL,-81.71,28.55
2,Cleveland Heights, OH,-81.59,41.5
1,Cleveland, GA,-83.76,34.6
16,Cleveland, OH,-81.84,41.41
3,Cleveland, TN,-84.88,35.16
1,Cleves, OH,-84.76,39.17
3,Clifton Park, NY,-73.78,42.86
1,Clifton Springs, NY,-77.17,42.97
1,Clifton, CO,-108.46,39.09
2,Clifton, NJ,-74.14,40.83
1,Clifton, VA,-77.41,38.83
1,Clinton Pointe, MI,-82.9,42.55
3,Clinton Township, MI,-82.86,42.63
1,Clinton, IA,-90.19,41.84
1,Clinton, MD,-76.89,38.77
1,Clinton, MS,-90.33,32.33
1,Clinton, UT,-112.06,41.14
3,Clive, IA,-93.72,41.6
2,Closter, NJ,-73.96,40.97
1,Cloverdale, CA,-123.01,38.78
10,Clovis, CA,-119.73,36.84
1,Clovis, NM,-103.2,34.42
1,Clute, TX,-95.42,29.04
2,Clyde, OH,-82.96,41.37
1,Coachella, CA,-116.22,33.7
1,Coalinga, CA,-120.36,36.14
2,Cockeysville, MD,-76.64,39.48
2,Cocoa Beach, FL,-80.61,28.36
2,Coconut Creek, FL,-80.19,26.28
2,Coconut Grove, FL,-80.24,25.73
1,Cody, WY,-109.05,44.52
5,Coeur D'Alene, ID,-116.79,47.71
1,Cohasset, MA,-70.8,42.22
1,Colby, KS,-101.06,39.36
1,Colchester, CT,-72.33,41.57
1,Cold Spring, KY,-84.42,39.01
1,Colfax, CA,-120.95,39.1
2,College Park, MD,-76.93,39.02
9,College Station, TX,-96.31,30.61
1,Collegeville, PA,-75.48,40.16
2,Colleyville, TX,-97.1,32.88
3,Collierville, TN,-89.73,35.05
1,Collinsville, IL,-90.01,38.68
2,Colma, CA,-122.46,37.67
1,Colonial Heights, VA,-77.39,37.25
42,Colorado Springs, CO,-104.82,38.81
3,Colton, CA,-117.32,34.07
1,Columbia Nw, SC,-81.17,34.07
7,Columbia, MD,-76.88,39.22
8,Columbia, MO,-92.36,38.95
13,Columbia, SC,-80.88,34.11
1,Columbia, TN,-87.06,35.6
4,Columbus, GA,-84.95,32.54
4,Columbus, IN,-85.89,39.22
1,Columbus, MS,-88.43,33.52
1,Columbus, NE,-97.37,41.44
45,Columbus, OH,-82.89,40.0
1,Colville, WA,-117.91,48.55
4,Commack, NY,-73.29,40.81
2,Commerce City, CO,-104.81,39.89
1,Commerce Township, MI,-83.44,42.6
1,Commerce, CA,-118.15,34.02
1,Commerce, GA,-83.46,34.26
4,Compton, CA,-118.25,33.87
12,Concord, CA,-122.06,37.97
1,Concord, MA,-71.36,42.46
7,Concord, NC,-80.71,35.37
1,Concord, NH,-71.49,43.22
3,Conifer, CO,-105.31,39.53
4,Conroe, TX,-95.46,30.21
1,Conshohocken, PA,-75.29,40.09
1,Converse, TX,-98.32,29.5
4,Conway, AR,-92.42,35.09
1,Conway, SC,-79.01,33.8
2,Conyers, GA,-84.02,33.63
2,Cookeville, TN,-85.51,36.14
1,Coolidge, AZ,-111.52,32.99
3,Coon Rapids, MN,-93.35,45.2
1,Coos Bay, OR,-124.21,43.36
1,Copiague, NY,-73.41,40.69
2,Coppell, TX,-96.99,32.97
1,Copper Mountain, CO,-106.15,39.5
1,Copperas Cove, TX,-97.88,31.12
6,Coral Gables, FL,-80.26,25.73
7,Coral Springs, FL,-80.25,26.24
3,Coralville, IA,-91.61,41.69
4,Cordova, TN,-89.73,35.16
1,Corinth, TX,-97.04,33.13
1,Cornelia, GA,-83.55,34.51
1,Cornelias, OR,-123.05,45.52
3,Cornelius, NC,-80.88,35.48
1,Cornelius, OR,-123.04,45.52
1,Corning, CA,-122.2,39.93
1,Corolla, NC,-75.81,36.3
1,Corona Del Mar, CA,-117.87,33.6
12,Corona, CA,-117.57,33.84
1,Coronado, CA,-117.18,32.69
5,Corpus Christi, TX,-97.37,27.71
4,Corte Madera, CA,-122.52,37.93
1,Cortez, CO,-108.58,37.35
1,Cortlandt Manor, NY,-73.88,41.31
6,Corvallis, OR,-123.26,44.56
